inlineMaxLen,compressMinLen,lowPressureThreshold,highPressureThreshold,hotAccessThreshold,prefixSimilarityMinShared,mean_compression_ratio,small_ratio,medium_ratio,large_ratio,high-prefix-similarity_ratio,random-identifiers_ratio,nested-scopes_ratio,hot-cold-access_ratio,memory-stress_ratio
6,6,0.4,0.85,5,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.4,0.85,5,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,5,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,5,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,5,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.4,0.85,6,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.4,0.85,6,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,6,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,6,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.4,0.85,6,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.4,0.9,2,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.4,0.9,2,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,2,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,2,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,2,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.4,0.9,3,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.4,0.9,3,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,3,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,3,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,3,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.4,0.9,4,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.4,0.9,4,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,4,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,4,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,4,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.4,0.9,5,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.4,0.9,5,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,5,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,5,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,5,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.4,0.9,6,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.4,0.9,6,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,6,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,6,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.4,0.9,6,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.5,0.7,2,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.5,0.7,2,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,2,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,2,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,2,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.5,0.7,3,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.5,0.7,3,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,3,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,3,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,3,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.5,0.7,4,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.5,0.7,4,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,4,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,4,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,4,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.5,0.7,5,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.5,0.7,5,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,5,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,5,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,5,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.5,0.7,6,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.5,0.7,6,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,6,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,6,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.5,0.7,6,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.5,0.75,2,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.5,0.75,2,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,2,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,2,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,2,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.5,0.75,3,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.5,0.75,3,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,3,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,3,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,3,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.5,0.75,4,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.5,0.75,4,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,4,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,4,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,4,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.5,0.75,5,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.5,0.75,5,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,5,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,5,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,5,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.5,0.75,6,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.5,0.75,6,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,6,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,6,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.5,0.75,6,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.5,0.8,2,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.5,0.8,2,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,2,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,2,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,2,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.5,0.8,3,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.5,0.8,3,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,3,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,3,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,3,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.5,0.8,4,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.5,0.8,4,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,4,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,4,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,4,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.5,0.8,5,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.5,0.8,5,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,5,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,5,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,5,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.5,0.8,6,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.5,0.8,6,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,6,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,6,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.5,0.8,6,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.5,0.85,2,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.5,0.85,2,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,2,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,2,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,2,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.5,0.85,3,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.5,0.85,3,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,3,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,3,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,3,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.5,0.85,4,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.5,0.85,4,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,4,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,4,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,4,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.5,0.85,5,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.5,0.85,5,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,5,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,5,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,5,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.5,0.85,6,2,1.48984,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58845
6,6,0.5,0.85,6,3,1.48905,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,6,4,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,6,5,1.48901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58845
6,6,0.5,0.85,6,6,1.4863,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58845
6,6,0.5,0.9,2,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.5,0.9,2,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,2,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,2,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,2,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.5,0.9,3,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.5,0.9,3,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,3,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,3,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,3,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.5,0.9,4,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.5,0.9,4,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,4,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,4,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,4,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.5,0.9,5,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.5,0.9,5,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,5,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,5,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,5,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.5,0.9,6,2,1.48947,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.58554
6,6,0.5,0.9,6,3,1.48868,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,6,4,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,6,5,1.48865,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.58554
6,6,0.5,0.9,6,6,1.48594,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.58554
6,6,0.6,0.7,2,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.6,0.7,2,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,2,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,2,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,2,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.6,0.7,3,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.6,0.7,3,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,3,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,3,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,3,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.6,0.7,4,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.6,0.7,4,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,4,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,4,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,4,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.6,0.7,5,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.6,0.7,5,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,5,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,5,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,5,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.6,0.7,6,2,1.49093,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59716
6,6,0.6,0.7,6,3,1.49014,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,6,4,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,6,5,1.4901,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59716
6,6,0.6,0.7,6,6,1.48739,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59716
6,6,0.6,0.75,2,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.6,0.75,2,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,2,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,2,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,2,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.6,0.75,3,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.6,0.75,3,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,3,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,3,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,3,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.6,0.75,4,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.6,0.75,4,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,4,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,4,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,4,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.6,0.75,5,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.6,0.75,5,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,5,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,5,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,5,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.6,0.75,6,2,1.49057,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59429
6,6,0.6,0.75,6,3,1.48978,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,6,4,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,6,5,1.48974,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59429
6,6,0.6,0.75,6,6,1.48703,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59429
6,6,0.6,0.8,2,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.6,0.8,2,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,2,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,2,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,2,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.6,0.8,3,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.6,0.8,3,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,3,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,3,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,3,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.6,0.8,4,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.6,0.8,4,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,4,4,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,4,5,1.48938,1.16008,1.13996,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
6,6,0.6,0.8,4,6,1.48667,1.16008,1.13996,1.13513,2.58975,1.11395,2.01988,1.14321,1.59138
6,6,0.6,0.8,5,2,1.4902,1.16563,1.14048,1.13531,2.58975,1.11395,2.04159,1.14354,1.59138
6,6,0.6,0.8,5,3,1.48941,1.16008,1.14022,1.13513,2.58975,1.11395,2.04159,1.14321,1.59138
